1:[-40.0, 72.0]
3115:[0.1001, 52.2176]
3341:[-15.0, 12.0]
3363:[12.458333333333332, 43.94166666666666]
3399:[36.51, 31.24]
3407:[30.0, -20.0]
3459:[96.0, 22.0]
3634:[-90.25, 15.5]
3678:[105.0, 46.0]
3748:[13.4, 52.516666666666666]
3767:[-70.66666666666667, 19.0]
3787:[29.0, 47.0]
3891:[19.5, 48.666666666666664]
4065:[-84.0, 10.0]
4118:[28.3, -29.6]
4278:[-172.33333333333334, -13.583333333333334]
4483:[127.0, 40.0]
4879:[114.66666666666667, 4.5]
4961:[-18.0, 65.0]
5020:[21.0, 7.0]
5070:[44.25, -12.166666666666666]
5204:[-2.0, 13.0]
5327:[165.3, -21.25]
5412:[49.0, 10.0]
5437:[29.87388888888889, -1.9402777777777778]
5486:[-88.91666666666667, 13.833333333333334]
5728:[48.0, 15.0]
5773:[1.5166666666666666, 42.5]
5873:[167.0, -16.0]
6023:[25.908333333333335, -24.658333333333335]
6156:[-69.96666666666667, 12.5]
6164:[-15.9075, 21.29527777777778]
6315:[81.0, 7.0]
6678:[47.0, -20.0]
7350:[39.0, 15.0]
7658:[13.4, 52.516666666666666]
7664:[55.666666666666664, -4.583333333333333]
8038:[-175.0, -20.0]
8335:[16.35, 48.2]
8388:[-149.56666666666666, -17.533333333333335]
8400:[113.55, 22.166666666666668]
8465:[32.0, 15.0]
8732:[31.5, -26.5]
8761:[-80.35, 40.69]
8762:[-77.5, 41.0]
8764:[-123.43, 39.43]
8765:[-120.0, 37.0]
8766:[13.366666666666667, 38.11666666666667]
8767:[-97.54138888888889, 35.49472222222222]
8768:[-97.535, 35.48222222222223]
8770:[-95.38305555555554, 29.762777777777778]
8772:[-87.96713, 43.0]
8773:[-89.5, 44.5]
8774:[135.76833333333335, 35.01166666666666]
8775:[135.0, 35.0]
8777:[-77.04408, 38.911371]
8779:[-89.0, 40.0]
8780:[-2.5972222222222223, 53.391666666666666]
8781:[-2.6333, 54.0167]
8782:[-105.96444444444445, 35.66722222222222]
8784:[-0.537661, 53.23272]
8788:[7.013055555555556, 51.450833333333335]
8792:[-0.1275, 51.507222222222225]
8793:[-120.83, 40.01]
8794:[-118.55306, 34.17333]
8798:[113.26666666666667, 23.133333333333333]
8799:[-90.122687, 29.935344]
8800:[-90.06666666666666, 29.95]
8804:[-88.23166666666667, 43.01166666666666]
8805:[30.2982, 59.926]
8808:[-2.1494, 53.4083]
8809:[-2.3166666666666664, 53.5]
8811:[-71.9, 45.4]
8813:[-61.35, 14.233333333333333]
8818:[175.05, -39.93333333333333]
8820:[-112.0, 34.0]
8822:[74.22277777777778, 31.256944444444443]
8824:[-75.0, 43.0]
8825:[-111.94305555555556, 33.41277777777778]
8827:[-82.32499166666666, 29.65199722222222]
8828:[-93.1, 45.02]
8829:[-93.0936111111111, 44.94416666666666]
8831:[11.566666666666666, 48.13333333333333]
8835:[-72.28944444444444, 43.702222222222225]
8838:[-100.0, 31.0]
8842:[-75.1498388888889, 39.94875277777778]
8844:[-75.379, 40.607166666666664]
8845:[-75.37555555555555, 40.626111111111115]
8846:[-122.53111111111112, 37.97361111111111]
8848:[10.001388888888888, 53.56527777777777]
8850:[-82.47638888888889, 27.968055555555555]
8852:[-87.68472222222222, 41.83694444444445]
8853:[-93.31, 44.83361111111111]
8854:[-123.44083333333333, 48.112500000000004]
8855:[-120.5, 47.5]
8856:[-70.09944444444444, 41.282777777777774]
8857:[-114.13305555555554, 51.0775]
8858:[-115.0, 55.0]
8861:[28.955, 41.01361111111111]
8862:[-117.0, 34.0]
8863:[-119.15, 34.36]
8864:[-79.44, 37.79]
8865:[-79.0, 37.5]
8867:[-79.984, 40.421]
